FIPS,county_name,county,month,day,year,population,primary_point
19085,Harrison County,Harrison,4,1,1990,14730,POINT (-95.8169209 41.6828528)
19155,Pottawattamie County,Pottawattamie,7,1,1991,82697,POINT (-95.5423935 41.3366123)
19037,Chickasaw County,Chickasaw,7,1,1991,13288,POINT (-92.3176637 43.0600414)
19069,Franklin County,Franklin,7,1,1991,11351,POINT (-93.262473 42.7325458)
19187,Webster County,Webster,7,1,1991,40345,POINT (-94.1817881 42.4279662)
19151,Pocahontas County,Pocahontas,7,1,1991,9493,POINT (-94.6787466 42.7341351)
19081,Hancock County,Hancock,7,1,1991,12610,POINT (-93.7342723 43.0818861)
19131,Mitchell County,Mitchell,7,1,1991,10919,POINT (-92.7890315 43.3564124)
19159,Ringgold County,Ringgold,7,1,1991,5416,POINT (-94.2439719 40.7352023)
19041,Clay County,Clay,7,1,1991,17654,POINT (-95.1509194 43.0825804)
19031,Cedar County,Cedar,7,1,1991,17447,POINT (-91.1324125 41.7723207)
19139,Muscatine County,Muscatine,7,1,1991,39969,POINT (-91.1127562 41.4839221)
19021,Buena Vista County,Buena Vista,7,1,1991,19992,POINT (-95.151149 42.7354936)
19025,Calhoun County,Calhoun,7,1,1991,11501,POINT (-94.6404136 42.3851848)
19011,Benton County,Benton,7,1,1991,22425,POINT (-92.0656912 42.0801864)
19175,Union County,Union,7,1,1991,12774,POINT (-94.2423792 41.0277304)
19101,Jefferson County,Jefferson,7,1,1991,16313,POINT (-91.9488774 41.0317596)
19193,Woodbury County,Woodbury,7,1,1991,98506,POINT (-96.0447673 42.3897169)
19103,Johnson County,Johnson,7,1,1991,96595,POINT (-91.5880849 41.6715511)
19129,Mills County,Mills,7,1,1991,13168,POINT (-95.6213267 41.0334523)
19095,Iowa County,Iowa,7,1,1991,14618,POINT (-92.065524 41.6863229)
19001,Adair County,Adair,7,1,1991,8397,POINT (-94.4709413 41.3307464)
19189,Winnebago County,Winnebago,7,1,1991,12131,POINT (-93.7341955 43.3775678)
19089,Howard County,Howard,7,1,1991,9811,POINT (-92.3171989 43.3567673)
19009,Audubon County,Audubon,7,1,1991,7335,POINT (-94.9058222 41.6845893)
19133,Monona County,Monona,7,1,1991,10003,POINT (-95.9599235 42.0516663)
19165,Shelby County,Shelby,7,1,1991,13235,POINT (-95.3102113 41.6850926)
19075,Grundy County,Grundy,7,1,1991,12017,POINT (-92.7914177 42.4018651)
19083,Hardin County,Hardin,7,1,1991,19099,POINT (-93.2404025 42.3838803)
19079,Hamilton County,Hamilton,7,1,1991,16049,POINT (-93.7068085 42.3837722)
19047,Crawford County,Crawford,7,1,1991,16737,POINT (-95.3819678 42.0372125)
19149,Plymouth County,Plymouth,7,1,1991,23382,POINT (-96.2140431 42.7378346)
19073,Greene County,Greene,7,1,1991,10028,POINT (-94.3968356 42.0362394)
19147,Palo Alto County,Palo Alto,7,1,1991,10642,POINT (-94.6781371 43.0820643)
19017,Bremer County,Bremer,7,1,1991,22854,POINT (-92.3180548 42.7745873)
19059,Dickinson County,Dickinson,7,1,1991,14935,POINT (-95.1508301 43.3779848)
19051,Davis County,Davis,7,1,1991,8321,POINT (-92.4097173 40.7476891)
19195,Worth County,Worth,7,1,1991,7980,POINT (-93.2608476 43.3773984)
19053,Decatur County,Decatur,7,1,1991,8303,POINT (-93.7862815 40.7376827)
19167,Sioux County,Sioux,7,1,1991,29927,POINT (-96.1778827 43.0826174)
19127,Marshall County,Marshall,7,1,1991,38301,POINT (-92.9987706 42.0358499)
19107,Keokuk County,Keokuk,7,1,1991,11601,POINT (-92.1786426 41.336465)
19137,Montgomery County,Montgomery,7,1,1991,12074,POINT (-95.1563758 41.03014)
19191,Winneshiek County,Winneshiek,7,1,1991,20840,POINT (-91.8437074 43.2906746)
19109,Kossuth County,Kossuth,7,1,1991,18551,POINT (-94.2067199 43.20413)
19117,Lucas County,Lucas,7,1,1991,9059,POINT (-93.3277207 41.0293738)
19015,Boone County,Boone,7,1,1991,25200,POINT (-93.931671 42.0365493)
19007,Appanoose County,Appanoose,7,1,1991,13744,POINT (-92.8686104 40.7431635)
19087,Henry County,Henry,7,1,1991,19296,POINT (-91.5445241 40.9879383)
19067,Floyd County,Floyd,7,1,1991,17056,POINT (-92.7890033 43.0599208)
19003,Adams County,Adams,7,1,1991,4845,POINT (-94.6991849 41.0289839)
19171,Tama County,Tama,7,1,1991,17436,POINT (-92.5325425 42.0798117)
19169,Story County,Story,7,1,1991,74382,POINT (-93.4650448 42.0362415)
19135,Monroe County,Monroe,7,1,1991,8130,POINT (-92.8689877 41.0297826)
19123,Mahaska County,Mahaska,7,1,1991,21563,POINT (-92.6409094 41.3352035)
19027,Carroll County,Carroll,7,1,1991,21415,POINT (-94.8605593 42.0362382)
19071,Fremont County,Fremont,7,1,1991,8236,POINT (-95.6046765 40.7455892)
19185,Wayne County,Wayne,7,1,1991,7075,POINT (-93.3273639 40.7394702)
19143,Osceola County,Osceola,7,1,1991,7285,POINT (-95.6236852 43.3785704)
19141,Obrien County,Obrien,7,1,1991,15451,POINT (-95.6248784 43.0837527)
19061,Dubuque County,Dubuque,7,1,1991,86462,POINT (-90.8824564 42.468832)
19077,Guthrie County,Guthrie,7,1,1991,10941,POINT (-94.501055 41.6837548)
19113,Linn County,Linn,7,1,1991,169295,POINT (-91.5989646 42.0789478)
19115,Louisa County,Louisa,7,1,1991,11620,POINT (-91.2596184 41.2185073)
19085,Harrison County,Harrison,7,1,1991,14734,POINT (-95.8169209 41.6828528)
19049,Dallas County,Dallas,7,1,1991,29904,POINT (-94.0397374 41.6848862)
19057,Des Moines County,Des Moines,7,1,1991,42668,POINT (-91.1814707 40.9231829)
19029,Cass County,Cass,7,1,1991,15110,POINT (-94.9278266 41.3314876)
19111,Lee County,Lee,7,1,1991,38632,POINT (-91.479264 40.6419764)
19065,Fayette County,Fayette,7,1,1991,21889,POINT (-91.8443207 42.8625919)
19045,Clinton County,Clinton,7,1,1991,51091,POINT (-90.5319724 41.8980358)
19013,Black Hawk County,Black Hawk,7,1,1991,124155,POINT (-92.3088197 42.4700957)
19177,Van Buren County,Van Buren,7,1,1991,7683,POINT (-91.9499871 40.7532294)
19163,Scott County,Scott,7,1,1991,151304,POINT (-90.6232428 41.6370978)
19005,Allamakee County,Allamakee,7,1,1991,13836,POINT (-91.3780923 43.2842838)
19119,Lyon County,Lyon,7,1,1991,11978,POINT (-96.2102924 43.380497)
19173,Taylor County,Taylor,7,1,1991,7103,POINT (-94.6964148 40.7374324)
19157,Poweshiek County,Poweshiek,7,1,1991,19035,POINT (-92.5314684 41.6864422)
19091,Humboldt County,Humboldt,7,1,1991,10755,POINT (-94.2071868 42.7764686)
19063,Emmet County,Emmet,7,1,1991,11592,POINT (-94.6784803 43.3780225)
19099,Jasper County,Jasper,7,1,1991,34829,POINT (-93.053765 41.6860394)
19055,Delaware County,Delaware,7,1,1991,18046,POINT (-91.3673502 42.471211)
19145,Page County,Page,7,1,1991,16874,POINT (-95.1501747 40.7391444)
19093,Ida County,Ida,7,1,1991,8341,POINT (-95.5134962 42.3868747)
19019,Buchanan County,Buchanan,7,1,1991,20842,POINT (-91.8378392 42.4707777)
19125,Marion County,Marion,7,1,1991,29995,POINT (-93.0994367 41.3344515)
19035,Cherokee County,Cherokee,7,1,1991,14107,POINT (-95.6238055 42.7356226)
19039,Clarke County,Clarke,7,1,1991,8301,POINT (-93.7851579 41.0290323)
19181,Warren County,Warren,7,1,1991,36170,POINT (-93.5613594 41.3343735)
19105,Jones County,Jones,7,1,1991,19480,POINT (-91.1314352 42.1212397)
19121,Madison County,Madison,7,1,1991,12516,POINT (-94.0155619 41.3307142)
19153,Polk County,Polk,7,1,1991,328531,POINT (-93.5735335 41.6855048)
19043,Clayton County,Clayton,7,1,1991,19064,POINT (-91.3414328 42.8447493)
19033,Cerro Gordo County,Cerro Gordo,7,1,1991,46773,POINT (-93.2608184 43.0815577)
19097,Jackson County,Jackson,7,1,1991,19909,POINT (-90.5742294 42.1717426)
19161,Sac County,Sac,7,1,1991,12311,POINT (-95.1053946 42.3862604)
19197,Wright County,Wright,7,1,1991,14272,POINT (-93.7351465 42.7331189)
19023,Butler County,Butler,7,1,1991,15713,POINT (-92.7901934 42.7315661)
19183,Washington County,Washington,7,1,1991,19617,POINT (-91.7178676 41.335591)
19179,Wapello County,Wapello,7,1,1991,35733,POINT (-92.4094499 41.0305845)
19099,Jasper County,Jasper,7,1,1992,34791,POINT (-93.053765 41.6860394)
19177,Van Buren County,Van Buren,7,1,1992,7718,POINT (-91.9499871 40.7532294)
19017,Bremer County,Bremer,7,1,1992,22931,POINT (-92.3180548 42.7745873)
19173,Taylor County,Taylor,7,1,1992,7053,POINT (-94.6964148 40.7374324)
19103,Johnson County,Johnson,7,1,1992,97484,POINT (-91.5880849 41.6715511)
19157,Poweshiek County,Poweshiek,7,1,1992,18945,POINT (-92.5314684 41.6864422)
19165,Shelby County,Shelby,7,1,1992,13318,POINT (-95.3102113 41.6850926)
19163,Scott County,Scott,7,1,1992,153222,POINT (-90.6232428 41.6370978)
19135,Monroe County,Monroe,7,1,1992,8169,POINT (-92.8689877 41.0297826)
19137,Montgomery County,Montgomery,7,1,1992,11980,POINT (-95.1563758 41.03014)
19195,Worth County,Worth,7,1,1992,7908,POINT (-93.2608476 43.3773984)
19179,Wapello County,Wapello,7,1,1992,35817,POINT (-92.4094499 41.0305845)
19151,Pocahontas County,Pocahontas,7,1,1992,9396,POINT (-94.6787466 42.7341351)
19181,Warren County,Warren,7,1,1992,36573,POINT (-93.5613594 41.3343735)
19145,Page County,Page,7,1,1992,16861,POINT (-95.1501747 40.7391444)
19107,Keokuk County,Keokuk,7,1,1992,11617,POINT (-92.1786426 41.336465)
19043,Clayton County,Clayton,7,1,1992,18889,POINT (-91.3414328 42.8447493)
19161,Sac County,Sac,7,1,1992,12156,POINT (-95.1053946 42.3862604)
19047,Crawford County,Crawford,7,1,1992,16739,POINT (-95.3819678 42.0372125)
19109,Kossuth County,Kossuth,7,1,1992,18230,POINT (-94.2067199 43.20413)
